614.6,614.6,0.45,0.295,11.76
608.6,608.6,0.45,0.302,11.88
606.13,606.13,0.45,0.305,11.92
587.8,587.8,0.45,0.326,12.3
578.7,578.7,0.45,0.336,11.68
581.7,581.7,0.45,0.333,13.45
710.14,710.14,0.45,0.185,24.63
713,713,0.45,0.182,24.53
714.3,714.3,0.45,0.181,24.49
703.6,703.6,0.45,0.193,24.87
699.7,699.7,0.45,0.197,24.39
702.3,702.3,0.45,0.194,25.61
777.4,777.4,0.45,0.108,31.44
775,775,0.45,0.111,32.04
789.3,789.3,0.45,0.095,31.46
772.5,772.5,0.45,0.114,32.16
753.2,753.2,0.45,0.136,31.71
760.7,760.7,0.45,0.127,37.83
784,392,0.45,0.247,15.54
782,391,0.45,0.249,15.24
779,389.5,0.45,0.252,15.75
757,378.5,0.45,0.273,16.05
760.65,380.33,0.45,0.27,15.71
748.8,374.4,0.45,0.281,16.16
900,450,0.45,0.136,30.59
902,451,0.45,0.134,30.4
908.3,454.15,0.45,0.128,30.19
883.9,441.95,0.45,0.152,32.6
884.6,442.3,0.45,0.151,25.76
892,446,0.45,0.144,26.61
987.7,493.85,0.45,0.052,37.2
992.8,496.4,0.45,0.047,36.96
979.8,489.9,0.45,0.06,37.34
982.2,491.1,0.45,0.057,34.63
958.5,479.25,0.45,0.08,35.48
985.2,492.6,0.45,0.054,36.24
447.6,895.2,0.45,0.319,11.75
450.37,900.74,0.45,0.315,11.96
449.9,899.8,0.45,0.315,10.45
439.2,878.4,0.45,0.332,12.51
441.7,883.4,0.45,0.328,13.19
440.32,880.64,0.45,0.33,11.48
488.9,977.8,0.45,0.256,13.85
485,970,0.45,0.262,13.33
485.8,971.6,0.45,0.261,14.27
476.4,952.8,0.45,0.275,13.18
480.4,960.8,0.45,0.269,13.84
479,958,0.45,0.271,12.65
546.6,1093.2,0.45,0.168,33.99
545.9,1091.8,0.45,0.169,30.43
549,1098,0.45,0.165,34.66
540.5,1081,0.45,0.177,30.28
548.3,1096.6,0.45,0.166,31.7
539.5,1079,0.45,0.179,28.11
837.3,837.3,0.4,0.081,43.54
833.8,833.8,0.4,0.085,43.79
831.9,831.9,0.4,0.087,43.2
826,826,0.4,0.094,39.87
821.7,821.7,0.4,0.098,41.23
818,818,0.4,0.103,40.96
728,728,0.4,0.201,27.96
724.7,724.7,0.4,0.205,28.12
724.3,724.3,0.4,0.205,25.89
726,726,0.4,0.204,27.34
721.23,721.23,0.4,0.209,28.96
724,724,0.4,0.206,28.27
596.54,596.54,0.4,0.346,11.08
596.9,596.9,0.4,0.345,10.74
598.8,598.8,0.4,0.343,10.91
586.2,586.2,0.4,0.357,9.2
590.9,590.9,0.4,0.352,10.35
588.15,588.15,0.4,0.355,9.33
816.13,816.13,0.35,0.144,43.53
829.5,829.5,0.35,0.13,44.61
820,820,0.35,0.14,45.01
810.2,810.2,0.35,0.15,43.21
